Casos,Tamaño 10,Tamaño 20,Tamaño 30,Tamaño 40,Tamaño 50,Tamaño 60,Tamaño 70,Tamaño 80,Tamaño 90,Tamaño 100,Tamaño 110,Tamaño 120,Tamaño 130,Tamaño 140,Tamaño 150,Tamaño 160,Tamaño 170,Tamaño 180,Tamaño 190,Tamaño 200,Tamaño 210,Tamaño 220,Tamaño 230,Tamaño 240,Tamaño 250,Tamaño 260,Tamaño 270,Tamaño 280,Tamaño 290,Tamaño 300,Tamaño 310,Tamaño 320,Tamaño 330,Tamaño 340,Tamaño 350,Tamaño 360,Tamaño 370,Tamaño 380,Tamaño 390,Tamaño 400,Tamaño 410,Tamaño 420,Tamaño 430,Tamaño 440,Tamaño 450,Tamaño 460,Tamaño 470,Tamaño 480,Tamaño 490,Tamaño 500,Tamaño 510,Tamaño 520,Tamaño 530,Tamaño 540,Tamaño 550,Tamaño 560,Tamaño 570,Tamaño 580,Tamaño 590,Tamaño 600,Tamaño 610,Tamaño 620,Tamaño 630,Tamaño 640,Tamaño 650,Tamaño 660,Tamaño 670,Tamaño 680,Tamaño 690,Tamaño 700,Tamaño 710,Tamaño 720,Tamaño 730,Tamaño 740,Tamaño 750,Tamaño 760,Tamaño 770,Tamaño 780,Tamaño 790,Tamaño 800,Tamaño 810,Tamaño 820,Tamaño 830,Tamaño 840,Tamaño 850,Tamaño 860,Tamaño 870,Tamaño 880,Tamaño 890,Tamaño 900,Tamaño 910,Tamaño 920,Tamaño 930,Tamaño 940,Tamaño 950,Tamaño 960,Tamaño 970,Tamaño 980,Tamaño 990,Tamaño 1000
Caso 292,0.0000003,0.0000007,0.0000007,0.0000016,0.0000017,0.0000022,0.0000029,0.0000038,0.0000045,0.0000055,0.0000079,0.0000326,0.0000113,0.0000167,0.0000366,0.0000132,0.0000153,0.0000163,0.0000261,0.0000279,0.0000281,0.0000582,0.0000476,0.0000545,0.0000536,0.0000857,0.0000383,0.0000418,0.0000446,0.0000471,0.0000486,0.0000519,0.0000551,0.0000714,0.0000621,0.0000638,0.0000663,0.0000690,0.0000729,0.0000774,0.0000828,0.0001255,0.0001180,0.0000995,0.0000975,0.0001027,0.0001071,0.0001113,0.0001162,0.0001205,0.0001265,0.0001592,0.0001377,0.0001725,0.0001478,0.0001858,0.0001584,0.0001753,0.0002049,0.0001978,0.0002182,0.0001859,0.0001980,0.0002057,0.0002101,0.0002179,0.0002227,0.0002219,0.0002574,0.0002432,0.0003029,0.0002535,0.0002952,0.0003282,0.0002839,0.0002919,0.0002911,0.0003046,0.0004435,0.0003225,0.0003305,0.0004280,0.0004128,0.0003521,0.0003608,0.0006978,0.0005119,0.0004526,0.0003946,0.0004020,0.0004240,0.0004225,0.0008682,0.0004520,0.0004502,0.0004563,0.0005348,0.0005658,0.0009992,0.0006113,
Caso 293,0.0000003,0.0000006,0.0000009,0.0000014,0.0000020,0.0000059,0.0000094,0.0000063,0.0000080,0.0000069,0.0000082,0.0000096,0.0000105,0.0000119,0.0000164,0.0000133,0.0000148,0.0000165,0.0000183,0.0000203,0.0000270,0.0000274,0.0000288,0.0000304,0.0000399,0.0000348,0.0000374,0.0000400,0.0000533,0.0000586,0.0000598,0.0000521,0.0000556,0.0000569,0.0000596,0.0000620,0.0000656,0.0000719,0.0000771,0.0000807,0.0000838,0.0000877,0.0000894,0.0001018,0.0000981,0.0001030,0.0001075,0.0001121,0.0001182,0.0001233,0.0001286,0.0001331,0.0001374,0.0001429,0.0001494,0.0001542,0.0001583,0.0001640,0.0001773,0.0001758,0.0001808,0.0001897,0.0002341,0.0002184,0.0002052,0.0002054,0.0002179,0.0002259,0.0002483,0.0002455,0.0002528,0.0002647,0.0002617,0.0002695,0.0002703,0.0005136,0.0003220,0.0003050,0.0003064,0.0003586,0.0003197,0.0003236,0.0003429,0.0003495,0.0003788,0.0003640,0.0003717,0.0004121,0.0003908,0.0003993,0.0004049,0.0004153,0.0004331,0.0004336,0.0004420,0.0006619,0.0016707,0.0004735,0.0004825,0.0005327,
Caso 294,0.0000002,0.0000005,0.0000008,0.0000012,0.0000018,0.0000026,0.0000034,0.0000041,0.0000052,0.0000057,0.0000082,0.0000096,0.0000085,0.0000100,0.0000119,0.0000130,0.0000149,0.0000169,0.0000186,0.0000213,0.0000298,0.0000253,0.0000278,0.0000298,0.0000325,0.0000351,0.0000383,0.0000429,0.0000456,0.0000478,0.0000622,0.0000535,0.0000570,0.0000606,0.0000650,0.0000679,0.0000730,0.0000947,0.0000971,0.0000847,0.0001087,0.0000931,0.0000976,0.0001015,0.0001059,0.0001092,0.0001140,0.0001182,0.0001224,0.0001500,0.0001371,0.0001738,0.0001717,0.0001882,0.0001924,0.0002094,0.0002033,0.0001745,0.0001796,0.0002215,0.0001899,0.0001978,0.0002021,0.0002136,0.0002128,0.0002256,0.0002298,0.0002785,0.0002789,0.0003720,0.0002638,0.0002706,0.0002691,0.0002756,0.0002927,0.0002903,0.0003127,0.0003155,0.0003775,0.0003218,0.0003299,0.0003390,0.0004807,0.0003497,0.0003598,0.0003658,0.0004285,0.0003929,0.0004014,0.0003998,0.0004473,0.0004192,0.0004258,0.0004375,0.0004452,0.0005248,0.0005060,0.0004882,0.0004881,0.0004989,
Caso 295,0.0000002,0.0000005,0.0000008,0.0000012,0.0000015,0.0000024,0.0000031,0.0000039,0.0000050,0.0000057,0.0000070,0.0000080,0.0000093,0.0000141,0.0000161,0.0000143,0.0000163,0.0000181,0.0000205,0.0000232,0.0000318,0.0000353,0.0000302,0.0000417,0.0000358,0.0000394,0.0000473,0.0000474,0.0000484,0.0000516,0.0000543,0.0000578,0.0000735,0.0000635,0.0000840,0.0000708,0.0000739,0.0000783,0.0000876,0.0000835,0.0000873,0.0000917,0.0000947,0.0000982,0.0001024,0.0001074,0.0001114,0.0001155,0.0001274,0.0001300,0.0001343,0.0001392,0.0001410,0.0001782,0.0001515,0.0001575,0.0001638,0.0001703,0.0001749,0.0001822,0.0001872,0.0001870,0.0002362,0.0002027,0.0002072,0.0002154,0.0002208,0.0002275,0.0002281,0.0002822,0.0002408,0.0002541,0.0002736,0.0002698,0.0002777,0.0003191,0.0002928,0.0003081,0.0003154,0.0003551,0.0003200,0.0003281,0.0003347,0.0003434,0.0003545,0.0004290,0.0004663,0.0003798,0.0003849,0.0004313,0.0004150,0.0004239,0.0004327,0.0005104,0.0005187,0.0004616,0.0004564,0.0004672,0.0004765,0.0004886,
Caso 296,0.0000003,0.0000006,0.0000008,0.0000012,0.0000019,0.0000024,0.0000033,0.0000054,0.0000054,0.0000057,0.0000068,0.0000081,0.0000099,0.0000110,0.0000128,0.0000144,0.0000164,0.0000225,0.0000198,0.0000216,0.0000240,0.0000336,0.0000285,0.0000388,0.0000340,0.0000602,0.0000804,0.0000694,0.0000581,0.0000705,0.0000754,0.0000658,0.0000570,0.0000722,0.0000731,0.0000652,0.0000688,0.0000871,0.0000951,0.0000988,0.0001045,0.0001663,0.0001820,0.0001814,0.0001872,0.0002404,0.0001752,0.0001935,0.0001415,0.0001971,0.0002057,0.0002266,0.0002208,0.0001393,0.0001451,0.0001712,0.0001900,0.0001617,0.0002012,0.0002043,0.0002057,0.0001879,0.0001888,0.0001993,0.0002470,0.0002521,0.0002267,0.0002265,0.0002323,0.0002807,0.0002415,0.0002585,0.0002661,0.0003208,0.0002720,0.0002756,0.0002959,0.0002989,0.0003063,0.0003001,0.0003228,0.0003205,0.0003393,0.0003372,0.0003757,0.0003572,0.0003718,0.0003719,0.0003798,0.0003880,0.0004862,0.0012391,0.0004297,0.0005023,0.0005274,0.0004436,0.0004565,0.0004665,0.0005721,0.0004903,
Caso 297,0.0000003,0.0000006,0.0000008,0.0000012,0.0000015,0.0000021,0.0000027,0.0000035,0.0000058,0.0000056,0.0000071,0.0000081,0.0000095,0.0000113,0.0000123,0.0000139,0.0000155,0.0000174,0.0000191,0.0000213,0.0000231,0.0000249,0.0000353,0.0000296,0.0000935,0.0000491,0.0000472,0.0000506,0.0000410,0.0000443,0.0000475,0.0000519,0.0000543,0.0000582,0.0000745,0.0000634,0.0000661,0.0000705,0.0001039,0.0000801,0.0000836,0.0000884,0.0000899,0.0000935,0.0000977,0.0001023,0.0001068,0.0001366,0.0001166,0.0001453,0.0001281,0.0001371,0.0001367,0.0001416,0.0001755,0.0001517,0.0001876,0.0001865,0.0001653,0.0002349,0.0002184,0.0001875,0.0001943,0.0002400,0.0002127,0.0002726,0.0003057,0.0004026,0.0003589,0.0003968,0.0004774,0.0002985,0.0002520,0.0002585,0.0003168,0.0002743,0.0003389,0.0002893,0.0002991,0.0007198,0.0003210,0.0005437,0.0003268,0.0003360,0.0003431,0.0003692,0.0004920,0.0004758,0.0003858,0.0003950,0.0003941,0.0005038,0.0004094,0.0004210,0.0004269,0.0005193,0.0005277,0.0004632,0.0004821,0.0005992,
Caso 298,0.0000002,0.0000005,0.0000008,0.0000012,0.0000024,0.0000031,0.0000032,0.0000050,0.0000048,0.0000060,0.0000073,0.0000104,0.0000099,0.0000109,0.0000156,0.0000172,0.0000156,0.0000225,0.0000238,0.0000277,0.0000243,0.0000345,0.0000374,0.0000323,0.0000437,0.0000375,0.0000395,0.0000525,0.0000460,0.0000491,0.0000649,0.0000556,0.0000599,0.0000633,0.0000666,0.0000690,0.0000720,0.0001110,0.0000989,0.0000850,0.0000898,0.0000936,0.0000979,0.0001011,0.0001261,0.0001065,0.0001094,0.0001310,0.0001402,0.0001287,0.0001312,0.0001349,0.0001688,0.0001471,0.0001518,0.0001564,0.0002898,0.0002083,0.0001790,0.0001835,0.0001908,0.0001991,0.0002589,0.0002065,0.0002085,0.0002493,0.0002247,0.0002327,0.0002387,0.0002519,0.0002581,0.0002596,0.0003017,0.0002665,0.0002893,0.0002803,0.0003518,0.0003032,0.0003104,0.0003160,0.0003882,0.0003256,0.0003410,0.0003610,0.0003718,0.0003808,0.0005547,0.0004518,0.0004145,0.0004253,0.0004160,0.0004295,0.0008402,0.0004571,0.0004523,0.0004648,0.0004687,0.0004750,0.0006964,0.0005517,
Caso 299,0.0000002,0.0000005,0.0000007,0.0000012,0.0000015,0.0000021,0.0000034,0.0000034,0.0000056,0.0000053,0.0000063,0.0000099,0.0000089,0.0000102,0.0000117,0.0000131,0.0000150,0.0000168,0.0000229,0.0000260,0.0000273,0.0000298,0.0000270,0.0000292,0.0000316,0.0000429,0.0000364,0.0000386,0.0000512,0.0000444,0.0000591,0.0000496,0.0000655,0.0000705,0.0000614,0.0000646,0.0000680,0.0000874,0.0000782,0.0000899,0.0000826,0.0000864,0.0001098,0.0000941,0.0000985,0.0001020,0.0001077,0.0001127,0.0001165,0.0001212,0.0001266,0.0001326,0.0002308,0.0004881,0.0001535,0.0001586,0.0001644,0.0002052,0.0001770,0.0001900,0.0002107,0.0002687,0.0002777,0.0002469,0.0002800,0.0002393,0.0002191,0.0002727,0.0002315,0.0002383,0.0002580,0.0003043,0.0002628,0.0004635,0.0003358,0.0002786,0.0002912,0.0002994,0.0003609,0.0003910,0.0003372,0.0003380,0.0003450,0.0003498,0.0004768,0.0003580,0.0005384,0.0004556,0.0003832,0.0004851,0.0003991,0.0004082,0.0004173,0.0004872,0.0009519,0.0005397,0.0004501,0.0005533,0.0005711,0.0004788,
Caso 300,0.0000002,0.0000004,0.0000007,0.0000011,0.0000022,0.0000023,0.0000030,0.0000039,0.0000047,0.0000072,0.0000068,0.0000078,0.0000091,0.0000136,0.0000119,0.0000135,0.0000149,0.0000212,0.0000179,0.0000198,0.0000222,0.0000246,0.0000335,0.0000283,0.0000314,0.0000336,0.0000367,0.0000406,0.0000433,0.0000463,0.0000580,0.0000515,0.0000547,0.0000603,0.0002040,0.0000836,0.0000794,0.0000757,0.0000798,0.0000837,0.0000886,0.0001007,0.0000975,0.0001009,0.0001053,0.0001342,0.0001695,0.0001171,0.0001217,0.0001263,0.0001304,0.0002509,0.0001402,0.0001472,0.0001508,0.0001541,0.0001583,0.0001608,0.0001702,0.0001725,0.0001831,0.0001900,0.0001980,0.0002098,0.0002148,0.0002203,0.0002280,0.0002343,0.0002319,0.0002378,0.0002832,0.0002503,0.0002564,0.0002626,0.0005050,0.0006502,0.0002904,0.0002913,0.0002908,0.0008267,0.0003224,0.0003202,0.0004510,0.0003461,0.0003440,0.0003524,0.0003990,0.0003709,0.0003788,0.0003866,0.0004073,0.0004049,0.0004115,0.0004213,0.0004400,0.0004578,0.0004676,0.0004681,0.0004694,0.0005584,
Caso 301,0.0000004,0.0000005,0.0000006,0.0000010,0.0000018,0.0000030,0.0000033,0.0000053,0.0000051,0.0000085,0.0000063,0.0000100,0.0000088,0.0000101,0.0000117,0.0000131,0.0000150,0.0000213,0.0000184,0.0000205,0.0000223,0.0000247,0.0000282,0.0000299,0.0000321,0.0000340,0.0000364,0.0000401,0.0000426,0.0000558,0.0000476,0.0000506,0.0000533,0.0000571,0.0000715,0.0000648,0.0001026,0.0000908,0.0000761,0.0000800,0.0000837,0.0000882,0.0000935,0.0000980,0.0001259,0.0001339,0.0001141,0.0001432,0.0001221,0.0001350,0.0001374,0.0001425,0.0001430,0.0001785,0.0001533,0.0001582,0.0001648,0.0001681,0.0002103,0.0001806,0.0001834,0.0001839,0.0001940,0.0002328,0.0004600,0.0002207,0.0002725,0.0002384,0.0003049,0.0003218,0.0004161,0.0005775,0.0002917,0.0002754,0.0003360,0.0002912,0.0002979,0.0003551,0.0003166,0.0003166,0.0003247,0.0004265,0.0003430,0.0003658,0.0003596,0.0003639,0.0003727,0.0003795,0.0003872,0.0005672,0.0004442,0.0004129,0.0004255,0.0004350,0.0004904,0.0004552,0.0004638,0.0009519,0.0006027,0.0004892,
Caso 302,0.0000003,0.0000006,0.0000010,0.0000018,0.0000025,0.0000035,0.0000046,0.0000054,0.0000069,0.0000181,0.0000784,0.0000128,0.0000150,0.0000178,0.0000133,0.0000149,0.0000162,0.0000178,0.0000200,0.0000246,0.0000289,0.0000266,0.0000292,0.0000306,0.0000412,0.0000351,0.0000395,0.0002376,0.0000700,0.0000738,0.0000725,0.0000801,0.0000809,0.0000959,0.0000963,0.0000816,0.0001210,0.0000806,0.0000921,0.0001217,0.0000829,0.0001315,0.0001151,0.0000967,0.0000986,0.0001037,0.0001104,0.0001144,0.0001176,0.0001220,0.0001289,0.0001315,0.0001377,0.0001473,0.0001502,0.0001557,0.0001606,0.0001620,0.0001968,0.0002862,0.0005326,0.0003086,0.0001924,0.0002951,0.0003222,0.0003268,0.0002434,0.0002336,0.0002296,0.0002333,0.0003088,0.0002950,0.0003891,0.0005649,0.0002656,0.0002727,0.0004443,0.0004572,0.0006195,0.0003346,0.0004766,0.0004890,0.0003291,0.0003511,0.0004723,0.0004395,0.0007243,0.0005455,0.0004376,0.0005989,0.0006004,0.0005839,0.0006319,0.0004379,0.0004323,0.0004889,0.0005272,0.0004530,0.0004626,0.0005619,
Caso 303,0.0000003,0.0000005,0.0000008,0.0000009,0.0000015,0.0000022,0.0000037,0.0000038,0.0000045,0.0000058,0.0000068,0.0000105,0.0000094,0.0000108,0.0000124,0.0000139,0.0000154,0.0000177,0.0000194,0.0000216,0.0000239,0.0000258,0.0000281,0.0000303,0.0000332,0.0000348,0.0000374,0.0000401,0.0000548,0.0000557,0.0000590,0.0000501,0.0000533,0.0000563,0.0000730,0.0000767,0.0000679,0.0000714,0.0000919,0.0000798,0.0001004,0.0001024,0.0000886,0.0001111,0.0000956,0.0001186,0.0001043,0.0001292,0.0001126,0.0001411,0.0001232,0.0001286,0.0001471,0.0001385,0.0001423,0.0001482,0.0001535,0.0001581,0.0001639,0.0001691,0.0003699,0.0004219,0.0003578,0.0001958,0.0004140,0.0002950,0.0002616,0.0002189,0.0002652,0.0002311,0.0002386,0.0002430,0.0002521,0.0002540,0.0004808,0.0002645,0.0002910,0.0005053,0.0002911,0.0002963,0.0003049,0.0003078,0.0003156,0.0003244,0.0003283,0.0004175,0.0003465,0.0003679,0.0003659,0.0003748,0.0003823,0.0004029,0.0004124,0.0004115,0.0004788,0.0004254,0.0004405,0.0004629,0.0008299,0.0004677,
Caso 304,0.0000002,0.0000006,0.0000010,0.0000014,0.0000018,0.0000022,0.0000028,0.0000049,0.0000045,0.0000055,0.0000065,0.0000079,0.0000093,0.0000107,0.0000121,0.0000138,0.0000155,0.0000169,0.0000235,0.0000206,0.0000223,0.0000368,0.0000285,0.0000307,0.0000426,0.0000383,0.0000411,0.0000498,0.0000427,0.0000463,0.0000517,0.0000520,0.0000791,0.0000732,0.0000619,0.0000725,0.0001035,0.0001173,0.0000804,0.0000836,0.0000850,0.0000887,0.0000934,0.0001046,0.0000984,0.0001044,0.0001333,0.0001148,0.0001352,0.0001486,0.0001290,0.0001334,0.0001384,0.0001501,0.0001514,0.0001585,0.0001969,0.0001684,0.0001743,0.0001801,0.0002256,0.0001991,0.0002048,0.0002567,0.0002193,0.0002225,0.0003258,0.0003301,0.0002583,0.0002567,0.0004777,0.0002626,0.0002708,0.0002779,0.0003385,0.0002999,0.0003075,0.0003083,0.0003112,0.0003300,0.0003912,0.0003336,0.0004021,0.0003610,0.0003596,0.0003694,0.0003789,0.0003896,0.0004266,0.0004197,0.0004732,0.0004229,0.0004337,0.0004438,0.0004509,0.0005298,0.0006933,0.0004775,0.0004854,0.0004943,
Caso 305,0.0000002,0.0000004,0.0000007,0.0000012,0.0000019,0.0000024,0.0000038,0.0000040,0.0000050,0.0000059,0.0000090,0.0000082,0.0000121,0.0000105,0.0000119,0.0000131,0.0000147,0.0000160,0.0000174,0.0000192,0.0000213,0.0000241,0.0000263,0.0000286,0.0000312,0.0000339,0.0000361,0.0000401,0.0000420,0.0000690,0.0000474,0.0000502,0.0000637,0.0000560,0.0000595,0.0000624,0.0000663,0.0000696,0.0000805,0.0000806,0.0000848,0.0000894,0.0000943,0.0000988,0.0001223,0.0001073,0.0001082,0.0001362,0.0001181,0.0002013,0.0001320,0.0001373,0.0001399,0.0001441,0.0001488,0.0001542,0.0001591,0.0002161,0.0001718,0.0002095,0.0001815,0.0001818,0.0001927,0.0001932,0.0002127,0.0002186,0.0002710,0.0002350,0.0002359,0.0002877,0.0002676,0.0002519,0.0002601,0.0002674,0.0002739,0.0002835,0.0002814,0.0002969,0.0005782,0.0004817,0.0003736,0.0003275,0.0003284,0.0003402,0.0003490,0.0003586,0.0003658,0.0004491,0.0003907,0.0003871,0.0004074,0.0004031,0.0004123,0.0004860,0.0004422,0.0004901,0.0004471,0.0004704,0.0004678,0.0004807,
Caso 306,0.0000002,0.0000006,0.0000008,0.0000015,0.0000022,0.0000023,0.0000039,0.0000039,0.0000049,0.0000059,0.0000065,0.0000082,0.0000093,0.0000105,0.0000152,0.0000151,0.0000246,0.0000246,0.0000197,0.0000218,0.0000238,0.0000257,0.0000361,0.0000311,0.0000336,0.0000437,0.0000458,0.0000407,0.0000439,0.0000473,0.0000500,0.0000535,0.0000575,0.0000777,0.0000782,0.0000661,0.0000689,0.0000720,0.0000759,0.0000790,0.0001019,0.0000869,0.0001124,0.0000964,0.0001241,0.0001047,0.0001351,0.0001144,0.0001463,0.0001250,0.0001301,0.0001343,0.0001593,0.0001448,0.0001825,0.0001894,0.0001950,0.0001641,0.0001669,0.0001775,0.0001845,0.0002180,0.0001953,0.0002094,0.0002087,0.0002572,0.0002194,0.0002261,0.0002817,0.0003658,0.0002484,0.0002534,0.0002602,0.0002690,0.0002695,0.0003399,0.0002925,0.0002989,0.0003628,0.0003142,0.0003570,0.0003271,0.0003545,0.0003398,0.0003941,0.0003506,0.0003892,0.0003671,0.0003758,0.0004623,0.0003941,0.0004002,0.0004371,0.0004841,0.0008894,0.0004304,0.0004414,0.0005394,0.0004574,0.0004659,
Caso 307,0.0000003,0.0000005,0.0000010,0.0000012,0.0000016,0.0000022,0.0000031,0.0000039,0.0000050,0.0000061,0.0000074,0.0000087,0.0000101,0.0000151,0.0000172,0.0000186,0.0000176,0.0000232,0.0000209,0.0000231,0.0000250,0.0000268,0.0000284,0.0000316,0.0000339,0.0000465,0.0000466,0.0000413,0.0000538,0.0000535,0.0000612,0.0000530,0.0000567,0.0000605,0.0000650,0.0000683,0.0000712,0.0000916,0.0000782,0.0000928,0.0000924,0.0000883,0.0000921,0.0000963,0.0001012,0.0001059,0.0001097,0.0001150,0.0001445,0.0001238,0.0001520,0.0001656,0.0001715,0.0001464,0.0001525,0.0001871,0.0002071,0.0001647,0.0001693,0.0001753,0.0001815,0.0001879,0.0002312,0.0002009,0.0002017,0.0003091,0.0002210,0.0002341,0.0002270,0.0002413,0.0003071,0.0002534,0.0002621,0.0002691,0.0002690,0.0003021,0.0002996,0.0003082,0.0003080,0.0003886,0.0003248,0.0003337,0.0003996,0.0003467,0.0004098,0.0003955,0.0003800,0.0004452,0.0003884,0.0004773,0.0004000,0.0004717,0.0004787,0.0008119,0.0004496,0.0004571,0.0004542,0.0004637,0.0004695,0.0004814,
Caso 308,0.0000003,0.0000005,0.0000009,0.0000012,0.0000017,0.0000030,0.0000032,0.0000039,0.0000045,0.0000072,0.0000066,0.0000106,0.0000119,0.0000112,0.0000129,0.0000181,0.0000154,0.0000176,0.0000205,0.0000257,0.0000289,0.0000309,0.0000280,0.0000303,0.0000404,0.0000426,0.0000454,0.0000395,0.0000414,0.0000555,0.0000471,0.0000495,0.0000525,0.0000698,0.0000588,0.0000635,0.0000640,0.0000694,0.0000891,0.0000942,0.0000797,0.0001042,0.0000897,0.0000926,0.0001191,0.0001014,0.0001296,0.0001333,0.0001142,0.0001420,0.0001482,0.0001260,0.0001547,0.0001345,0.0001386,0.0001455,0.0001607,0.0001621,0.0001681,0.0001749,0.0002154,0.0002231,0.0001893,0.0003308,0.0002190,0.0003076,0.0002900,0.0003770,0.0002828,0.0002308,0.0002349,0.0002394,0.0002551,0.0002609,0.0002682,0.0002768,0.0002833,0.0002884,0.0002921,0.0003468,0.0003068,0.0003240,0.0003374,0.0003409,0.0003372,0.0003464,0.0003516,0.0003746,0.0003796,0.0003780,0.0004856,0.0004644,0.0005927,0.0004820,0.0004221,0.0004328,0.0004390,0.0004662,0.0004557,0.0004878,
Caso 309,0.0000002,0.0000005,0.0000009,0.0000017,0.0000019,0.0000021,0.0000036,0.0000046,0.0000060,0.0000058,0.0000067,0.0000101,0.0000090,0.0000105,0.0000116,0.0000135,0.0000151,0.0000173,0.0000185,0.0000211,0.0000301,0.0000261,0.0000286,0.0000313,0.0000329,0.0000430,0.0000382,0.0000405,0.0000661,0.0000544,0.0000488,0.0000520,0.0000999,0.0000993,0.0000641,0.0000674,0.0000714,0.0000752,0.0000783,0.0000994,0.0001050,0.0000894,0.0001137,0.0000973,0.0000987,0.0001246,0.0001299,0.0001378,0.0001424,0.0001469,0.0001227,0.0001276,0.0001326,0.0001504,0.0001617,0.0001517,0.0001582,0.0001954,0.0001660,0.0001698,0.0003589,0.0001881,0.0001898,0.0002334,0.0001947,0.0002069,0.0002242,0.0002217,0.0002535,0.0002857,0.0002440,0.0002578,0.0002597,0.0002579,0.0002727,0.0003391,0.0002876,0.0002964,0.0003009,0.0003074,0.0003101,0.0003233,0.0003750,0.0003333,0.0003420,0.0003519,0.0003703,0.0003778,0.0003769,0.0003982,0.0014856,0.0004840,0.0004881,0.0004232,0.0004324,0.0004436,0.0004955,0.0004609,0.0005965,0.0006253,
Caso 310,0.0000003,0.0000006,0.0000008,0.0000013,0.0000023,0.0000032,0.0000031,0.0000041,0.0000049,0.0000088,0.0000086,0.0000081,0.0000117,0.0000107,0.0000120,0.0000139,0.0000156,0.0000166,0.0000234,0.0000211,0.0000228,0.0000245,0.0000273,0.0000293,0.0000321,0.0000340,0.0000361,0.0000387,0.0000416,0.0000562,0.0000493,0.0000529,0.0000542,0.0000575,0.0000595,0.0000646,0.0000663,0.0000865,0.0001128,0.0000800,0.0000848,0.0000857,0.0000874,0.0000926,0.0000980,0.0001024,0.0001059,0.0001103,0.0001138,0.0001177,0.0001280,0.0001342,0.0001391,0.0001434,0.0001487,0.0001531,0.0001541,0.0001596,0.0002707,0.0001721,0.0001778,0.0001846,0.0001910,0.0002228,0.0002041,0.0002143,0.0002194,0.0002245,0.0002303,0.0002363,0.0002422,0.0002501,0.0002565,0.0002761,0.0002791,0.0002880,0.0002953,0.0003618,0.0003031,0.0003107,0.0003155,0.0003851,0.0003317,0.0003522,0.0004044,0.0003518,0.0004260,0.0003654,0.0003900,0.0014242,0.0003931,0.0004007,0.0004899,0.0004456,0.0004279,0.0004378,0.0005250,0.0004594,0.0004673,0.0004798,
Caso 311,0.0000004,0.0000006,0.0000009,0.0000013,0.0000015,0.0000023,0.0000032,0.0000040,0.0000046,0.0000057,0.0000069,0.0000080,0.0000095,0.0000109,0.0000126,0.0000144,0.0000156,0.0000174,0.0000192,0.0000272,0.0000233,0.0000317,0.0000277,0.0000302,0.0000334,0.0000360,0.0000454,0.0000415,0.0000557,0.0000465,0.0000500,0.0000855,0.0000610,0.0000703,0.0000644,0.0000776,0.0000708,0.0000910,0.0000777,0.0000810,0.0000843,0.0001067,0.0000911,0.0001155,0.0000979,0.0003860,0.0001116,0.0001173,0.0001218,0.0001277,0.0001628,0.0001710,0.0001798,0.0001415,0.0002689,0.0002657,0.0002920,0.0002974,0.0003684,0.0001763,0.0001804,0.0001868,0.0001928,0.0002013,0.0002043,0.0002166,0.0002197,0.0002658,0.0002336,0.0002378,0.0002442,0.0002516,0.0002589,0.0002649,0.0002708,0.0003094,0.0003209,0.0002947,0.0003541,0.0003084,0.0003161,0.0003213,0.0003278,0.0003349,0.0003418,0.0003545,0.0006605,0.0009494,0.0003753,0.0003805,0.0003889,0.0004707,0.0004161,0.0004137,0.0004236,0.0005190,0.0004276,0.0004522,0.0005368,0.0005440,
Caso 312,0.0000004,0.0000006,0.0000010,0.0000011,0.0000015,0.0000028,0.0000029,0.0000040,0.0000047,0.0000055,0.0000063,0.0000074,0.0000086,0.0000103,0.0000155,0.0000138,0.0000199,0.0000175,0.0000240,0.0000212,0.0000227,0.0000248,0.0000273,0.0000301,0.0000396,0.0000412,0.0000369,0.0000399,0.0000439,0.0000575,0.0000491,0.0000515,0.0000678,0.0000583,0.0000761,0.0000645,0.0000682,0.0000717,0.0000745,0.0000805,0.0000820,0.0000856,0.0001092,0.0000954,0.0000987,0.0001041,0.0001102,0.0001139,0.0001186,0.0001234,0.0003204,0.0001386,0.0001733,0.0001472,0.0001539,0.0001605,0.0001637,0.0002567,0.0001715,0.0001769,0.0002067,0.0002147,0.0001949,0.0002022,0.0002094,0.0002094,0.0002579,0.0002474,0.0002318,0.0002440,0.0002553,0.0002606,0.0003112,0.0003176,0.0003546,0.0002791,0.0002902,0.0002989,0.0003064,0.0003147,0.0003419,0.0003300,0.0003363,0.0003446,0.0004078,0.0004800,0.0005173,0.0003771,0.0003870,0.0003939,0.0003999,0.0004101,0.0004196,0.0005049,0.0004398,0.0004470,0.0004426,0.0004649,0.0004748,0.0005662,
